Category,Question,Option_A,Option_B
Self-Perception,Would you rather feel special or feel understood?,Special,Understood
Self-Perception,Would you rather improve slowly or transform instantly?,Improve slowly,Transform instantly
Self-Perception,Would you rather always be growing or finally feel enough?,Always growing,Feel enough
Self-Perception,Would you rather be self-critical or self-accepting?,Self-critical,Self-accepting
Self-Perception,Would you rather be aware of your limits or ignore them?,Aware,Ignore them
Self-Perception,Would you rather feel proud or feel peaceful?,Proud,Peaceful
Behavior & Habits,Would you rather have perfect discipline or perfect motivation?,Discipline,Motivation
Behavior & Habits,Would you rather wake up early or stay up late?,Wake early,Stay late
Behavior & Habits,Would you rather plan everything or go with the flow?,Plan everything,Go with flow
Behavior & Habits,Would you rather focus deeply or multitask easily?,Focus deeply,Multitask easily
Behavior & Habits,Would you rather finish quickly or perfect slowly?,Finish quickly,Perfect slowly
Behavior & Habits,Would you rather be consistent or intense?,Consistent,Intense
Behavior & Habits,Would you rather follow routines or break them?,Follow routines,Break routines
Behavior & Habits,Would you rather be productive or creative?,Productive,Creative
Behavior & Habits,Would you rather think fast or think deeply?,Think fast,Think deeply
Behavior & Habits,Would you rather take action or wait for the right moment?,Take action,Wait
Modern Life / Digital,Would you rather lose your phone or your identity online?,Lose phone,Lose online identity
Modern Life / Digital,Would you rather go viral once or stay unknown forever?,Go viral,Stay unknown
Modern Life / Digital,Would you rather always be connected or always be present?,Connected,Present
Modern Life / Digital,Would you rather have followers or real influence?,Followers,Real influence
Modern Life / Digital,Would you rather share everything or keep everything private?,Share everything,Private
Modern Life / Digital,Would you rather be seen or understood online?,Seen,Understood
Modern Life / Digital,Would you rather scroll endlessly or disconnect completely?,Scroll endlessly,Disconnect
Modern Life / Digital,Would you rather have attention or respect online?,Attention,Respect
Modern Life / Digital,Would you rather be authentic or successful online?,Authentic,Successful
Modern Life / Digital,Would you rather build a brand or live a private life?,Build brand,Private life
Absurd but Revealing,Would you rather always feel slightly late or slightly early?,Slightly late,Slightly early
Absurd but Revealing,Would you rather always have something to say or never need to speak?,Always something to say,Never need speak
Absurd but Revealing,Would you rather always be watched or always be alone?,Watched,Alone
Absurd but Revealing,Would you rather always win small or lose big occasionally?,Win small,Lose big occasionally
Absurd but Revealing,Would you rather always feel busy or always feel bored?,Busy,Bored
Absurd but Revealing,Would you rather always expect the worst or hope for the best?,Expect worst,Hope best
Absurd but Revealing,Would you rather always know the answer or always ask the question?,Know answer,Ask question
Absurd but Revealing,Would you rather always blend in or always stand out?,Blend in,Stand out
Absurd but Revealing,Would you rather always be calm or always feel alive?,Calm,Feel alive
Absurd but Revealing,Would you rather always be right or always be growing?,Always right,Always growing
