ID,Category,Question,Option_A,Option_B
036,Social & Relationships,Would you rather lose your closest friend or never make new ones?,Lose closest friend,Never make new ones
037,Social & Relationships,Would you rather be emotionally independent or deeply connected?,Independent,Connected
038,Social & Relationships,Would you rather have fewer real friends or many casual ones?,Fewer real,Many casual
039,Social & Relationships,Would you rather be understood or admired?,Understood,Admired
040,Social & Relationships,Would you rather be the funny one or the serious one?,Funny,Serious
041,Life Tradeoffs,Would you rather have more time or more energy?,More time,More energy
042,Life Tradeoffs,Would you rather relive your best moment or erase your worst?,Relive best,Erase worst
043,Life Tradeoffs,Would you rather control your future or fix your past?,Control future,Fix past
044,Life Tradeoffs,Would you rather know everything or experience everything?,Know everything,Experience everything
045,Life Tradeoffs,Would you rather have certainty or possibility?,Certainty,Possibility
046,Life Tradeoffs,Would you rather always play it safe or always take risks?,Play safe,Take risks
047,Life Tradeoffs,Would you rather be consistent or spontaneous?,Consistent,Spontaneous
048,Life Tradeoffs,Would you rather feel stable or feel excited?,Stable,Excited
049,Life Tradeoffs,Would you rather finish everything you start or start everything you want?,Finish everything,Start everything
050,Life Tradeoffs,Would you rather be comfortable or challenged?,Comfortable,Challenged
051,Future / Power,Would you rather read minds or influence decisions?,Read minds,Influence decisions
052,Future / Power,Would you rather pause time or speed it up?,Pause time,Speed it up
053,Future / Power,Would you rather always know what to say or always know what to do?,Know what to say,Know what to do
054,Future / Power,Would you rather control your emotions or others’ emotions?,Your emotions,Others’ emotions
055,Future / Power,Would you rather never feel fear or never feel regret?,No fear,No regret
056,Future / Power,Would you rather see outcomes or change them?,See outcomes,Change outcomes
057,Future / Power,Would you rather be invisible or unforgettable?,Invisible,Unforgettable
058,Future / Power,Would you rather have unlimited knowledge or unlimited influence?,Knowledge,Influence
059,Future / Power,Would you rather control one person or inspire millions?,Control one,Inspire millions
060,Future / Power,Would you rather know your purpose or create it?,Know purpose,Create purpose
061,Self-Perception,Would you rather see yourself how others see you or how you truly are?,How others see you,How you truly are
062,Self-Perception,Would you rather know your biggest flaw or your biggest strength?,Biggest flaw,Biggest strength
063,Self-Perception,Would you rather feel confident or be competent?,Feel confident,Be competent
064,Self-Perception,Would you rather believe in yourself or be validated by others?,Believe in yourself,Validated by others
065,Self-Perception,Would you rather feel special or feel understood?,Special,Understood
066,Self-Perception,Would you rather improve slowly or transform instantly?,Improve slowly,Transform instantly
067,Self-Perception,Would you rather always be growing or finally feel enough?,Always growing,Feel enough
068,Self-Perception,Would you rather be self-critical or self-accepting?,Self-critical,Self-accepting
069,Self-Perception,Would you rather be aware of your limits or ignore them?,Aware,Ignore them
070,Self-Perception,Would you rather feel proud or feel peaceful?,Proud,Peaceful
071,Behavior & Habits,Would you rather have perfect discipline or perfect motivation?,Discipline,Motivation
072,Behavior & Habits,Would you rather wake up early or stay up late?,Wake early,Stay late
073,Behavior & Habits,Would you rather plan everything or go with the flow?,Plan everything,Go with flow
074,Behavior & Habits,Would you rather focus deeply or multitask easily?,Focus deeply,Multitask easily
075,Behavior & Habits,Would you rather finish quickly or perfect slowly?,Finish quickly,Perfect slowly
076,Behavior & Habits,Would you rather be consistent or intense?,Consistent,Intense
077,Behavior & Habits,Would you rather follow routines or break them?,Follow routines,Break routines
078,Behavior & Habits,Would you rather be productive or creative?,Productive,Creative
079,Behavior & Habits,Would you rather think fast or think deeply?,Think fast,Think deeply
080,Behavior & Habits,Would you rather take action or wait for the right moment?,Take action,Wait
081,Modern Life / Digital,Would you rather lose your phone or your identity online?,Lose phone,Lose online identity
082,Modern Life / Digital,Would you rather go viral once or stay unknown forever?,Go viral,Stay unknown
083,Modern Life / Digital,Would you rather always be connected or always be present?,Connected,Present
084,Modern Life / Digital,Would you rather have followers or real influence?,Followers,Real influence
085,Modern Life / Digital,Would you rather share everything or keep everything private?,Share everything,Private
086,Modern Life / Digital,Would you rather be seen or understood online?,Seen,Understood
087,Modern Life / Digital,Would you rather scroll endlessly or disconnect completely?,Scroll endlessly,Disconnect
088,Modern Life / Digital,Would you rather have attention or respect online?,Attention,Respect
089,Modern Life / Digital,Would you rather be authentic or successful online?,Authentic,Successful
090,Modern Life / Digital,Would you rather build a brand or live a private life?,Build brand,Private life
091,Absurd but Revealing,Would you rather always feel slightly late or slightly early?,Slightly late,Slightly early
092,Absurd but Revealing,Would you rather always have something to say or never need to speak?,Always something to say,Never need speak
093,Absurd but Revealing,Would you rather always be watched or always be alone?,Watched,Alone
094,Absurd but Revealing,Would you rather always win small or lose big occasionally?,Win small,Lose big occasionally
095,Absurd but Revealing,Would you rather always feel busy or always feel bored?,Busy,Bored
096,Absurd but Revealing,Would you rather always expect the worst or hope for the best?,Expect worst,Hope best
097,Absurd but Revealing,Would you rather always know the answer or always ask the question?,Know answer,Ask question
098,Absurd but Revealing,Would you rather always blend in or always stand out?,Blend in,Stand out
099,Absurd but Revealing,Would you rather always be calm or always feel alive?,Calm,Feel alive
100,Absurd but Revealing,Would you rather always be right or always be growing?,Always right,Always growing
